Search Key,Name,Category ID,Price List Version,Price
480001,480001  PRUEBAS DE BODA,52DBC3E9A82C47F2B6298CBC3E12DA67,FDE536FE9D8C4B068C32CD6C3650B6B8 ,"25,24"
SERV VAR COOK,SERVICIOS VARIOS COOKARTE,52DBC3E9A82C47F2B6298CBC3E12DA67,FDE536FE9D8C4B068C32CD6C3650B6B8 ,"25,24"
ECC,ASES.ESTRATEGIA CONSOLIDACION Y CRECIMIENTO,52DBC3E9A82C47F2B6298CBC3E12DA67,FDE536FE9D8C4B068C32CD6C3650B6B8 ,"25,24"
CUOTA BEONPRICE,CUOTA BEONPRICE,52DBC3E9A82C47F2B6298CBC3E12DA67,FDE536FE9D8C4B068C32CD6C3650B6B8 ,"25,24"
ARREND TENDIT,ARRENDAMIENTO TENDIT,52DBC3E9A82C47F2B6298CBC3E12DA67,FDE536FE9D8C4B068C32CD6C3650B6B8 ,"25,24"
601015,601015 - RELLENO NORDIGO KING,52DBC3E9A82C47F2B6298CBC3E12DA67,FDE536FE9D8C4B068C32CD6C3650B6B8 ,"25,24"
601014,601014 - RELLENO NORDICO MATRIMONIAL,52DBC3E9A82C47F2B6298CBC3E12DA67,FDE536FE9D8C4B068C32CD6C3650B6B8 ,"25,24"
601013,601013 - RELLENO NORDICO INDIV.,52DBC3E9A82C47F2B6298CBC3E12DA67,FDE536FE9D8C4B068C32CD6C3650B6B8 ,"25,24"
601012,601012 - FUNDA CUADRANTE,52DBC3E9A82C47F2B6298CBC3E12DA67,FDE536FE9D8C4B068C32CD6C3650B6B8 ,"25,24"
ALQ COOK,SUBARRIENDO Y LOCAL NEGOCIO COOKARTE,52DBC3E9A82C47F2B6298CBC3E12DA67,FDE536FE9D8C4B068C32CD6C3650B6B8 ,"25,24"
ET SV,RENAULT MASTER 6414-KXF,52DBC3E9A82C47F2B6298CBC3E12DA67,FDE536FE9D8C4B068C32CD6C3650B6B8 ,"25,24"
GABARRA,REMOLQUE VA-02379-R,52DBC3E9A82C47F2B6298CBC3E12DA67,FDE536FE9D8C4B068C32CD6C3650B6B8 ,"25,24"
PDB EL VILLA,PRUEBAS DE BODA EL VILLA,52DBC3E9A82C47F2B6298CBC3E12DA67,FDE536FE9D8C4B068C32CD6C3650B6B8 ,"25,24"
